"YYYYMM","f11","f12","f13","f14","f15","f21","f22","f23","f24","f25","f31","f32","f33","f34","f35","f41","f42","f43","f44","f45","f51","f52","f53","f54","f55"
"1963-07-01","-0.01468823173","-0.01196723433","-0.00217649948"," 0.0032966520"," 0.0267282794","-0.0284944600","-0.01287504284","-0.00360573642","-0.0035413520","-0.00400789775","-0.02725608330","-0.0079630728","-0.01371814141"," 0.00048208141","-0.0108749162","-0.01694514676","-0.0070480612","-0.0101607688","-0.0009306162","-0.03629402443","-0.0077741160","-0.01569391826"," 0.00318283454","-0.018818101766"," 0.0159867354"
"1963-08-01"," 0.04812376727"," 0.01869370114"," 0.00469542103"," 0.0337579875"," 0.0471509035"," 0.0534013139"," 0.04373589843"," 0.02764999387"," 0.0540737832"," 0.05133075387"," 0.04601546096"," 0.0486737779"," 0.05287308813"," 0.04206147943"," 0.0531885571"," 0.08015613449"," 0.0533602576"," 0.0527886953"," 0.0385961403"," 0.06197895365"," 0.0870163948"," 0.06010784482"," 0.06769449019"," 0.107463098850"," 0.1072703894"
"1963-09-01"," 0.00343423806"," 0.01714133196","-0.01413598422","-0.0015152626","-0.0115976144","-0.0341215502","-0.02725167042","-0.01419094405","-0.0124005739","-0.02648640071","-0.01776958735","-0.0070552676","-0.01906278295","-0.01419400448","-0.0320085996","-0.05529466030","-0.0168448589","-0.0246328226","-0.0443811625","-0.04064446868","-0.0154037312","-0.01946567116","-0.03565456155"," 0.001269111022","-0.0071185471"
"1963-10-01","-0.00521010443","-0.01728404622","-0.00637928696"," 0.0014784813","-0.0006127157"," 0.0227742286","-0.00057516817","-0.02177629137"," 0.0159903833"," 0.01022661384"," 0.03296392397"," 0.0012318698"," 0.01888767731"," 0.01024076308"," 0.0173186105"," 0.02015689411"," 0.0293764000"," 0.0087273110"," 0.0061910544"," 0.01416448125"," 0.0532567529"," 0.01388508125"," 0.01006957747"," 0.076006300376"," 0.0728589592"
"1963-11-01","-0.01051396157"," 0.00107893621","-0.01830932418","-0.0183825854","-0.0253932949","-0.0088861532","-0.01734060240","-0.01803987993","-0.0231616726","-0.02849937303"," 0.00352523922","-0.0161666759","-0.01349574579","-0.01113546137","-0.0100783954","-0.02218000273","-0.0116801957","-0.0099865857","-0.0088188725"," 0.00720284670","-0.0028139924","-0.02747835618","-0.01192185614","-0.006625485311","-0.0065992991"
"1963-12-01","-0.00531236185","-0.00132622640","-0.00818735665"," 0.0074668946"," 0.0093068744"," 0.0006903364"," 0.01575182591"," 0.01499441213"," 0.0291913503"," 0.01057138951"," 0.02002302347"," 0.0137365060"," 0.00496597888"," 0.00597793635","-0.0114698281"," 0.01077640735"," 0.0286253024"," 0.0090192613"," 0.0132761751","-0.00677273222"," 0.0094788109"," 0.02738026854"," 0.00396405651","-0.002746817908","-0.0048214938"
"1964-01-01"," 0.03742804795"," 0.01204395334"," 0.03266264113"," 0.0095523269"," 0.0232465451"," 0.0164178293"," 0.02329123802"," 0.01078944870"," 0.0297029265"," 0.02208773317"," 0.03284937186"," 0.0165638473"," 0.02272467360"," 0.02230620633"," 0.0012016029"," 0.03614840108"," 0.0028710019"," 0.0106189991"," 0.0206602870","-0.00070141999"," 0.0255160726"," 0.01364865010"," 0.00641937157"," 0.007642501664","-0.0392277014"
"1964-02-01"," 0.02814592900"," 0.00999533576"," 0.02168216388"," 0.0165551330"," 0.0180243699"," 0.0304413541"," 0.02651499576"," 0.00769240244"," 0.0220540221"," 0.01086766700"," 0.02217371347"," 0.0116289428"," 0.02275037739","-0.00090292980","-0.0005060492"," 0.03716989969"," 0.0166363143"," 0.0223904270"," 0.0297515382"," 0.03227804663"," 0.0226364588"," 0.03043320669"," 0.04195055007"," 0.040966499118"," 0.0109441904"
"1964-03-01"," 0.04312327232"," 0.02189948538"," 0.02316129029"," 0.0321223642"," 0.0222262131"," 0.0747656091"," 0.02066712713"," 0.02252234519"," 0.0285555445"," 0.00300557600"," 0.05899747243"," 0.0042110112"," 0.01655318092"," 0.02090392468"," 0.0245865463"," 0.06446655958"," 0.0356069149"," 0.0129821172"," 0.0047312425"," 0.02239159991"," 0.0546439131"," 0.04878204545"," 0.01294519999"," 0.013376201196","-0.0007506930"
"1964-04-01"," 0.01034287406"," 0.00001840559","-0.02629875817"," 0.0071881934","-0.0171884963","-0.0176826065","-0.01264580091","-0.01772647979"," 0.0026369825"," 0.02370096270","-0.02780677045"," 0.0154365229","-0.00741560598"," 0.00053712683","-0.0176064036","-0.02288379272","-0.0105079104"," 0.0313826521","-0.0093299473","-0.02049485446","-0.0593963516","-0.00344524658"," 0.01602379397","-0.023921600351"," 0.0059991302"
"1964-05-01"," 0.03555157281"," 0.00032373495"," 0.00690939433"," 0.0028717953","-0.0012140611"," 0.0196226774"," 0.01471794453"," 0.01481864376"," 0.0072216857"," 0.01568621895"," 0.00089999039"," 0.0155899491","-0.01877121802"," 0.00143225716","-0.0081320005"," 0.03621039495"," 0.0161725993"," 0.0226079375"," 0.0007120969"," 0.00050713711"," 0.0063454940","-0.00583594841"," 0.01636816551"," 0.005161594768"," 0.0372095593"
"1964-06-01"," 0.02410631375"," 0.01521436749"," 0.02479871303"," 0.0096426013"," 0.0056646446"," 0.0155842992"," 0.01706878664"," 0.02081985607"," 0.0221260723"," 0.00748408448"," 0.01384182653"," 0.0028855074"," 0.02330816134"," 0.02359795307"," 0.0182028654"," 0.01081151771"," 0.0155352729"," 0.0281673728"," 0.0095806826"," 0.03897173057"," 0.0002511918"," 0.02159943822"," 0.00253387814"," 0.015629424451"," 0.0065505253"
"1964-07-01"," 0.02670379925"," 0.03707018639"," 0.04628418306"," 0.0182863085"," 0.0328253533"," 0.0299741264"," 0.01780328101"," 0.02788277662"," 0.0152715331"," 0.01530940004"," 0.02308904534"," 0.0271408779"," 0.01372558426"," 0.03605540089"," 0.0175525568"," 0.01526906949"," 0.0584154722"," 0.0473890749"," 0.0227566241"," 0.01592950548","-0.0128406333"," 0.02263856762"," 0.01703316203"," 0.001048365502"," 0.0071337663"
"1964-08-01","-0.00492728203","-0.00310360314","-0.00957357819","-0.0094541219","-0.0105258091","-0.0232238492","-0.01288627531","-0.00129197810","-0.0064080785","-0.00332437121","-0.02369022957","-0.0100045991","-0.00540847541","-0.01852334702","-0.0168004523","-0.00141370824"," 0.0043013205","-0.0045115169","-0.0145703742","-0.00434009059","-0.0350924073"," 0.00287420252","-0.01912103494","-0.018881022653","-0.0084767998"
"1964-09-01"," 0.04392842063"," 0.02169446023"," 0.02938346689"," 0.0454777324"," 0.0404709149"," 0.0188478809"," 0.02002634274"," 0.01939973252"," 0.0249357580"," 0.02887744584"," 0.04435598538"," 0.0130865884"," 0.00664302294"," 0.04384349405"," 0.0288142814"," 0.03788776377"," 0.0334436119"," 0.0318336937"," 0.0161895691"," 0.01107007935"," 0.0390594005"," 0.03915302647"," 0.03294880282"," 0.032173135223"," 0.1314764835"
"1964-10-01"," 0.00240739350"," 0.01227924111"," 0.02251853097"," 0.0238686893"," 0.0034165097"," 0.0184557423"," 0.00238642609","-0.00100016887"," 0.0188624153"," 0.04272160681","-0.00297736955"," 0.0183861803"," 0.01099580644"," 0.02934406716"," 0.0107577530"," 0.02061753914"," 0.0140406136"," 0.0046867871"," 0.0185042711"," 0.00820945822"," 0.0200050530"," 0.00886558383"," 0.00640792982","-0.004015480174","-0.0445868762"
"1964-11-01"," 0.01678535235"," 0.00520148272"," 0.00057151190"," 0.0122489276","-0.0006466199"," 0.0054704684","-0.02470771520"," 0.00610335447"," 0.0131526487"," 0.00541237866"," 0.00921704693","-0.0164110120","-0.00067871724"," 0.00516996189"," 0.0062927704","-0.00061664818"," 0.0028552891"," 0.0069409855"," 0.0017218304","-0.00246635555","-0.0111764773","-0.02720780248"," 0.00235304691"," 0.005078404102","-0.0486383888"
"1964-12-01","-0.02636564955"," 0.00428423250","-0.01084870193"," 0.0008986064"," 0.0013778325","-0.0156118605","-0.02074841295","-0.00061294206"," 0.0123012429","-0.00126692600","-0.02051241358","-0.0127955505"," 0.00266316759","-0.00191798309"," 0.0030008533","-0.01627523710","-0.0142877339"," 0.0127778192"," 0.0032856944"," 0.00874955203","-0.0270148579","-0.02688578634"," 0.01382118363","-0.013317736510"," 0.0091488013"
"1965-01-01"," 0.05892140742"," 0.04661844329"," 0.08145853689"," 0.0640684008"," 0.0573583762"," 0.0416196774"," 0.04994557318"," 0.03655690244"," 0.0408436782"," 0.06544319208"," 0.08138547186"," 0.0518613506"," 0.04380541123"," 0.04569088793"," 0.0676633539"," 0.04331147938"," 0.0512784821"," 0.0439864470"," 0.0458987273"," 0.05404402407"," 0.0842786691"," 0.06001499694"," 0.02622158891"," 0.054969020080"," 0.1106946780"
"1965-02-01"," 0.02325051929"," 0.02666500928"," 0.02140672632"," 0.0236136062"," 0.0360955139"," 0.0282822656"," 0.02716295853"," 0.02551756333"," 0.0339116955"," 0.03663777917"," 0.00453854740"," 0.0370567729"," 0.01756080872"," 0.03067989371"," 0.0317867580"," 0.03294546045"," 0.0264347894"," 0.0398073664"," 0.0245974429"," 0.04747302967"," 0.0480124642"," 0.02193936328"," 0.01163350185"," 0.016147274879"," 0.0450352126"
"1965-03-01"," 0.01981769006","-0.00525654489"," 0.00140092997"," 0.0249359738","-0.0029518182"," 0.0014334325","-0.00434908837","-0.00077356017","-0.0050603430","-0.02089365069"," 0.01350279820"," 0.0090452724","-0.01318930293"," 0.00161931296","-0.0040315654"," 0.00247329439","-0.0038865266","-0.0207891003"," 0.0026288302","-0.01773197641","-0.0150554269","-0.01669790353","-0.02176985299","-0.009868096476","-0.0310764593"
"1965-04-01"," 0.03402074709"," 0.04017777867"," 0.03825918826"," 0.0412531315"," 0.0426870675"," 0.0301297078"," 0.02792028371"," 0.01187291978"," 0.0407950092"," 0.04942661767"," 0.02758043915"," 0.0351108466"," 0.02421722000"," 0.04045325813"," 0.0630374322"," 0.03228465944"," 0.0284471220"," 0.0317118240"," 0.0311888925"," 0.04016996309"," 0.0332458420"," 0.02280414821"," 0.03826081164"," 0.036083352642"," 0.0375855673"
