"factor_set","GRS","p-val","avg_abs_intercept","dispersion","avg_intercept_var_ratio","avg_r_squared"
"SMB,HML",2.41,0,0.094,0.6,0.31,0.9
"SMB,HML,RMW",1.89,0.006,0.055,0.19,0.76,0.92
"SMB,HML,CMA",2.58,0,0.104,0.65,0.29,0.9
"SMB,RMW,CMA",1.94,0.004,0.055,0.21,0.77,0.92
"SMB,HML,RMW,CMA",1.89,0.006,0.051,0.17,0.88,0.92
"SMB,HML,RMW,CMA,MOM",3.07,0,0.074,0.34,0.42,0.93
"SMB,HML",5.44,0,0.109,0.66,0.17,0.91
"SMB,HML,RMW",4.88,0,0.101,0.53,0.2,0.92
"SMB,HML,CMA",4.9,0,0.102,0.52,0.2,0.92
"SMB,RMW,CMA",3.88,0,0.079,0.3,0.36,0.92
"SMB,HML,RMW,CMA",4.17,0,0.088,0.35,0.3,0.93
"SMB,HML,RMW,CMA,MOM",4.95,0,0.113,0.5,0.19,0.93
"SMB,HML",3.34,0,0.095,0.47,0.24,0.91
"SMB,HML,RMW",2.81,0,0.075,0.27,0.41,0.91
"SMB,HML,CMA",3.38,0,0.09,0.45,0.26,0.91
"SMB,RMW,CMA",2.87,0,0.086,0.3,0.51,0.88
"SMB,HML,RMW,CMA",2.82,0,0.075,0.26,0.42,0.91
"SMB,HML,RMW,CMA,MOM",3.46,0,0.098,0.4,0.27,0.92
