"factor_set","GRS","p-val","avg_abs_intercept","dispersion","avg_intercept_var_ratio","avg_r_squared"
"SMB,HML",1.9,0.005,0.105,0.77,0.41,0.87
"SMB,HML,RMW",1.62,0.029,0.073,0.29,0.82,0.89
"SMB,HML,CMA",2.42,0,0.128,0.96,0.32,0.87
"SMB,RMW,CMA",1.95,0.004,0.095,0.55,0.43,0.89
"SMB,HML,RMW,CMA",1.95,0.004,0.105,0.64,0.35,0.9
"SMB,HML,RMW,CMA,VOLM",2.11,0.001,0.132,0.92,0.25,0.9
"SMB,HML",5.1,0,0.143,0.8,0.21,0.88
"SMB,HML,RMW",4.78,0,0.149,0.81,0.18,0.89
"SMB,HML,CMA",4.56,0,0.142,0.68,0.24,0.89
"SMB,RMW,CMA",3.84,0,0.134,0.75,0.19,0.9
"SMB,HML,RMW,CMA",4.06,0,0.141,0.8,0.17,0.9
"SMB,HML,RMW,CMA,VOLM",3.72,0,0.159,0.93,0.15,0.9
"SMB,HML",1.95,0.004,0.108,0.46,0.41,0.87
"SMB,HML,RMW",1.79,0.01,0.091,0.35,0.48,0.89
"SMB,HML,CMA",2.32,0,0.102,0.44,0.43,0.88
"SMB,RMW,CMA",2.29,0,0.1,0.51,0.41,0.86
"SMB,HML,RMW,CMA",2.24,0.001,0.108,0.56,0.29,0.89
"SMB,HML,RMW,CMA,VOLM",2.43,0,0.13,0.77,0.22,0.89
