"gvkey","datadate","be1","op1","op2","at","at_lag1","in"
1004,"2020-05-31 00:00:00.000",902.6,140.8,0.155993795701307,2079,1517.2,1.37028737147377
1019,"2020-12-31 00:00:00.000",13.84,5.661,0.409031791907514,40.57,33.355,1.21630939889072
1045,"2020-12-31 00:00:00.000",NA,-10249,NA,62008,59995,1.03355279606634
1050,"2020-12-31 00:00:00.000",209.628,26.979,0.128699410384109,419.314,408.637,1.02612832416056
1062,"2020-11-30 00:00:00.000",463.936,-2.641,-0.00569259553041799,464.74,286.612,1.62149526188715
1072,"2019-03-31 00:00:00.000",2398.415,404.11,0.168490440561788,2813.278,2672.766,1.0525717552528
1075,"2020-12-31 00:00:00.000",7960.278,1155.029,0.145099078198023,20020.421,18479.247,1.08340025976167
1076,"2020-12-31 00:00:00.000",1113.074,2083.73,1.87204983675838,1317.404,3297.8,0.399479653102068
1078,"2020-12-31 00:00:00.000",34190,8566,0.250541093887101,72548,67887,1.0686582114396
1084,"2020-12-31 00:00:00.000",NA,-1.583,NA,0.692,1.774,0.390078917700113
1096,"2020-12-31 00:00:00.000",4020.577,185.941,0.0462473421103489,11052.688,11703.084,0.944425247225432
1097,"2020-12-31 00:00:00.000",31.706,1.043,0.0328959818330915,57.742,58.515,0.986789712039648
1104,"2020-12-31 00:00:00.000",62.826,14.22,0.226339413618565,129.867,110.749,1.17262458351768
1117,"2020-12-31 00:00:00.000",22.524,2.613,0.116009589770911,37.49,37.94,0.988139167105957
1121,"2020-12-31 00:00:00.000",161.801,12.813,0.0791898690366564,296.187,330.842,0.895252114302295
1161,"2020-12-31 00:00:00.000",5848,1553,0.265560875512996,8962,6028,1.48672859986729
1166,"2020-12-31 00:00:00.000",2262.047,487.073,0.215323996362587,2687.937,2440.903,1.10120598811178
1186,"2020-12-31 00:00:00.000",6719.274,1389.753,0.206830827259016,9614.755,8789.885,1.09384309351032
1209,"2020-09-30 00:00:00.000",13042.4,3198.2,0.245215604489971,25168.5,18942.8,1.32865785417151
1210,"2020-03-31 00:00:00.000",24.585,8.258,0.335895871466341,151.427,115.142,1.31513261885324
1224,"2020-09-30 00:00:00.000",851.7,139.7,0.164024891393683,2051.4,1743.6,1.17653131452168
1225,"2020-12-31 00:00:00.000",13177,2168,0.164529103741368,30803,29152,1.05663419319429
